coo: 54.99_73.37;E 00:00:00;A 00:00:00;E 01:00:00;A 01:00:00;E 02:00:00;A 02:00:00;E 03:00:00;A 03:00:00;E 04:00:00;A 04:00:00;E 05:00:00;A 05:00:00;E 06:00:00;A 06:00:00;E 07:00:00;A 07:00:00;E 08:00:00;A 08:00:00;E 09:00:00;A 09:00:00;E 10:00:00;A 10:00:00;E 11:00:00;A 11:00:00;E 12:00:00;A 12:00:00;E 13:00:00;A 13:00:00;E 14:00:00;A 14:00:00;E 15:00:00;A 15:00:00;E 16:00:00;A 16:00:00;E 17:00:00;A 17:00:00;E 18:00:00;A 18:00:00;E 19:00:00;A 19:00:00;E 20:00:00;A 20:00:00;E 21:00:00;A 21:00:00;E 22:00:00;A 22:00:00;E 23:00:00;A 23:00:00;
2018-07-31;--;--;--;--;--;--;--;--;--;--;--;--;4.99;64.82;13.09;76.69;21.61;88.66;30.15;101.34;38.30;115.51;45.43;132.12;50.72;151.99;53.18;174.86;52.17;198.40;47.97;219.70;41.50;237.64;33.69;252.72;25.24;265.92;16.65;278.11;8.30;289.95;0.57;301.96;--;--;--;--;
2018-08-01;--;--;--;--;--;--;--;--;--;--;--;--;4.79;64.97;12.90;76.85;21.42;88.83;29.96;101.52;38.10;115.69;45.22;132.29;50.49;152.13;52.93;174.90;51.92;198.34;47.74;219.58;41.28;237.48;33.48;252.56;25.03;265.77;16.44;277.97;8.09;289.82;0.35;301.85;--;--;--;--;
2018-08-02;--;--;--;--;--;--;--;--;--;--;--;--;4.59;65.12;12.70;77.01;21.22;89.01;29.77;101.71;37.89;115.88;45.00;132.47;50.25;152.26;52.68;174.95;51.67;198.29;47.49;219.45;41.05;237.33;33.26;252.40;24.82;265.61;16.22;277.82;7.87;289.69;0.12;301.73;--;--;--;--;
2018-08-03;--;--;--;--;--;--;--;--;--;--;--;--;4.38;65.28;12.51;77.18;21.03;89.19;29.57;101.90;37.68;116.08;44.77;132.66;50.01;152.40;52.42;175.01;51.41;198.24;47.25;219.33;40.82;237.18;33.04;252.24;24.60;265.46;16.00;277.67;7.64;289.55;-0.12;301.61;--;--;--;--;
2018-08-04;--;--;--;--;--;--;--;--;--;--;--;--;4.17;65.44;12.31;77.36;20.83;89.38;29.37;102.10;37.47;116.28;44.55;132.84;49.76;152.55;52.16;175.06;51.15;198.19;47.00;219.21;40.58;237.02;32.81;252.08;24.37;265.30;15.78;277.53;7.41;289.42;-0.35;301.49;--;--;--;--;
2018-08-05;--;--;--;--;--;--;--;--;--;--;--;--;3.96;65.60;12.10;77.54;20.63;89.57;29.16;102.30;37.26;116.49;44.32;133.04;49.51;152.69;51.89;175.12;50.88;198.15;46.74;219.09;40.33;236.87;32.57;251.92;24.14;265.15;15.55;277.38;7.18;289.29;-0.60;301.38;--;--;--;--;
2018-08-06;--;--;--;--;--;--;--;--;--;--;--;--;3.75;65.77;11.90;77.72;20.43;89.76;28.96;102.50;37.04;116.70;44.08;133.24;49.25;152.85;51.62;175.18;50.61;198.11;46.47;218.98;40.08;236.72;32.33;251.76;23.91;264.99;15.31;277.23;6.94;289.15;--;--;--;--;--;--;
2018-08-07;--;--;--;--;--;--;--;--;--;--;--;--;3.53;65.95;11.69;77.91;20.22;89.96;28.75;102.71;36.82;116.91;43.84;133.44;48.99;153.00;51.34;175.25;50.33;198.07;46.21;218.86;39.83;236.57;32.09;251.60;23.67;264.83;15.07;277.09;6.69;289.02;--;--;--;--;--;--;
2018-08-08;--;--;--;--;--;--;--;--;--;--;--;--;3.31;66.13;11.48;78.10;20.01;90.17;28.54;102.93;36.60;117.13;43.60;133.64;48.73;153.16;51.06;175.32;50.05;198.03;45.93;218.75;39.57;236.42;31.84;251.44;23.42;264.68;14.82;276.94;6.44;288.88;--;--;--;--;--;--;
2018-08-09;--;--;--;--;--;--;--;--;--;--;--;--;3.09;66.31;11.26;78.30;19.80;90.38;28.32;103.15;36.38;117.35;43.36;133.85;48.46;153.33;50.78;175.40;49.76;198.00;45.66;218.64;39.30;236.28;31.58;251.28;23.17;264.52;14.57;276.79;6.18;288.74;--;--;--;--;--;--;
2018-08-10;--;--;--;--;--;--;--;--;--;--;--;--;2.87;66.49;11.05;78.50;19.59;90.59;28.11;103.37;36.15;117.58;43.11;134.07;48.19;153.49;50.49;175.47;49.47;197.97;45.37;218.54;39.03;236.13;31.32;251.13;22.92;264.36;14.32;276.64;5.92;288.61;--;--;--;--;--;--;
2018-08-11;--;--;--;--;--;--;--;--;--;--;--;--;2.64;66.69;10.83;78.70;19.38;90.81;27.89;103.60;35.92;117.81;42.86;134.29;47.92;153.66;50.20;175.55;49.17;197.95;45.08;218.43;38.76;235.98;31.06;250.97;22.66;264.21;14.06;276.49;5.66;288.47;--;--;--;--;--;--;
2018-08-12;--;--;--;--;--;--;--;--;--;--;--;--;2.41;66.88;10.61;78.91;19.16;91.03;27.67;103.83;35.69;118.04;42.61;134.51;47.64;153.84;49.90;175.64;48.87;197.92;44.79;218.33;38.48;235.84;30.79;250.81;22.39;264.05;13.79;276.34;5.39;288.34;--;--;--;--;--;--;
2018-08-13;--;--;--;--;--;--;--;--;--;--;--;--;2.18;67.08;10.39;79.12;18.94;91.25;27.45;104.06;35.45;118.28;42.35;134.73;47.36;154.01;49.60;175.72;48.56;197.90;44.49;218.23;38.19;235.70;30.51;250.66;22.12;263.90;13.52;276.20;5.11;288.20;--;--;--;--;--;--;
2018-08-14;--;--;--;--;--;--;--;--;--;--;--;--;1.95;67.28;10.17;79.34;18.72;91.48;27.22;104.30;35.21;118.52;42.09;134.96;47.08;154.19;49.30;175.81;48.25;197.88;44.19;218.13;37.90;235.56;30.23;250.50;21.85;263.74;13.24;276.05;4.83;288.06;--;--;--;--;--;--;
2018-08-15;--;--;--;--;--;--;--;--;--;--;--;--;1.72;67.49;9.95;79.56;18.50;91.71;26.99;104.54;34.97;118.77;41.83;135.19;46.79;154.38;48.99;175.90;47.94;197.87;43.89;218.03;37.61;235.42;29.95;250.34;21.57;263.58;12.96;275.90;4.55;287.93;--;--;--;--;--;--;
2018-08-16;--;--;--;--;--;--;--;--;--;--;--;--;1.48;67.70;9.72;79.79;18.28;91.95;26.77;104.79;34.73;119.02;41.57;135.42;46.50;154.56;48.68;176.00;47.62;197.86;43.58;217.93;37.31;235.28;29.66;250.19;21.28;263.43;12.68;275.75;4.26;287.79;--;--;--;--;--;--;
2018-08-17;--;--;--;--;--;--;--;--;--;--;--;--;1.24;67.92;9.49;80.01;18.05;92.19;26.53;105.04;34.48;119.27;41.30;135.66;46.20;154.75;48.36;176.09;47.30;197.84;43.26;217.84;37.01;235.14;29.36;250.04;20.99;263.27;12.39;275.60;3.97;287.65;--;--;--;--;--;--;
2018-08-18;--;--;--;--;--;--;--;--;--;--;--;--;1.00;68.14;9.26;80.25;17.82;92.43;26.30;105.29;34.23;119.52;41.03;135.90;45.90;154.94;48.04;176.19;46.98;197.84;42.94;217.75;36.70;235.01;29.07;249.88;20.70;263.12;12.10;275.45;3.67;287.52;--;--;--;--;--;--;
2018-08-19;--;--;--;--;--;--;--;--;--;--;--;--;0.76;68.36;9.03;80.48;17.59;92.68;26.06;105.54;33.98;119.78;40.75;136.14;45.60;155.13;47.72;176.29;46.65;197.83;42.62;217.66;36.39;234.87;28.77;249.73;20.41;262.96;11.80;275.30;3.37;287.38;--;--;--;--;--;--;
2018-08-20;--;--;--;--;--;--;--;--;--;--;--;--;0.52;68.59;8.79;80.72;17.36;92.93;25.83;105.80;33.73;120.04;40.48;136.39;45.30;155.32;47.40;176.39;46.31;197.83;42.29;217.57;36.07;234.74;28.46;249.58;20.10;262.81;11.50;275.15;3.06;287.24;--;--;--;--;--;--;
2018-08-21;--;--;--;--;--;--;--;--;--;--;--;--;0.28;68.82;8.56;80.96;17.13;93.18;25.59;106.06;33.48;120.30;40.20;136.63;44.99;155.52;47.07;176.50;45.98;197.82;41.96;217.49;35.75;234.61;28.15;249.43;19.80;262.65;11.20;275.00;2.76;287.11;--;--;--;--;--;--;
2018-08-22;--;--;--;--;--;--;--;--;--;--;--;--;0.03;69.05;8.32;81.21;16.89;93.44;25.35;106.33;33.22;120.57;39.92;136.88;44.68;155.72;46.73;176.61;45.64;197.82;41.63;217.41;35.43;234.48;27.84;249.28;19.49;262.50;10.89;274.86;2.44;286.97;--;--;--;--;--;--;
2018-08-23;--;--;--;--;--;--;--;--;--;--;--;--;-0.22;69.29;8.08;81.46;16.66;93.70;25.10;106.59;32.96;120.84;39.63;137.13;44.37;155.92;46.40;176.71;45.29;197.83;41.29;217.32;35.10;234.35;27.52;249.13;19.18;262.35;10.58;274.71;2.13;286.83;--;--;--;--;--;--;
2018-08-24;--;--;--;--;--;--;--;--;--;--;--;--;-0.47;69.53;7.84;81.71;16.42;93.96;24.86;106.86;32.70;121.11;39.35;137.38;44.06;156.12;46.06;176.83;44.95;197.83;40.95;217.24;34.77;234.22;27.20;248.98;18.86;262.19;10.26;274.56;1.81;286.70;--;--;--;--;--;--;
2018-08-25;--;--;--;--;--;--;--;--;--;--;--;--;-0.72;69.77;7.60;81.96;16.18;94.22;24.61;107.14;32.43;121.38;39.06;137.64;43.74;156.32;45.72;176.94;44.60;197.84;40.60;217.17;34.44;234.09;26.87;248.83;18.54;262.04;9.95;274.41;1.49;286.56;--;--;--;--;--;--;
2018-08-26;--;--;--;--;--;--;--;--;--;--;--;--;--;--;7.36;82.22;15.94;94.49;24.36;107.41;32.17;121.65;38.77;137.89;43.42;156.52;45.38;177.05;44.24;197.84;40.25;217.09;34.10;233.97;26.54;248.69;18.22;261.89;9.62;274.26;1.16;286.42;--;--;--;--;--;--;
2018-08-27;--;--;--;--;--;--;--;--;--;--;--;--;--;--;7.12;82.48;15.69;94.76;24.11;107.69;31.90;121.93;38.47;138.15;43.09;156.73;45.03;177.16;43.89;197.85;39.90;217.02;33.76;233.85;26.21;248.54;17.89;261.74;9.30;274.12;0.83;286.28;--;--;--;--;--;--;
2018-08-28;--;--;--;--;--;--;--;--;--;--;--;--;--;--;6.87;82.74;15.45;95.03;23.86;107.96;31.63;122.20;38.18;138.41;42.77;156.93;44.68;177.28;43.53;197.87;39.55;216.94;33.41;233.72;25.88;248.40;17.56;261.59;8.97;273.97;0.50;286.15;--;--;--;--;--;--;
2018-08-29;--;--;--;--;--;--;--;--;--;--;--;--;--;--;6.62;83.01;15.20;95.31;23.60;108.24;31.36;122.48;37.88;138.67;42.44;157.14;44.33;177.40;43.17;197.88;39.19;216.87;33.06;233.60;25.54;248.25;17.23;261.44;8.64;273.82;0.16;286.01;--;--;--;--;--;--;
2018-08-30;--;--;--;--;--;--;--;--;--;--;--;--;--;--;6.38;83.28;14.96;95.58;23.35;108.53;31.08;122.76;37.58;138.93;42.11;157.35;43.97;177.51;42.80;197.89;38.83;216.80;32.71;233.48;25.20;248.11;16.90;261.29;8.30;273.67;-0.18;285.87;--;--;--;--;--;--;
2018-08-31;--;--;--;--;--;--;--;--;--;--;--;--;--;--;6.13;83.55;14.71;95.86;23.09;108.81;30.81;123.04;37.27;139.19;41.78;157.55;43.62;177.63;42.43;197.91;38.46;216.74;32.36;233.36;24.85;247.97;16.56;261.14;7.96;273.53;-0.52;285.74;--;--;--;--;--;--;
2018-09-01;--;--;--;--;--;--;--;--;--;--;--;--;--;--;5.88;83.82;14.46;96.14;22.83;109.10;30.53;123.33;36.97;139.45;41.44;157.76;43.26;177.75;42.06;197.92;38.10;216.67;32.00;233.25;24.51;247.83;16.22;260.99;7.62;273.38;--;--;--;--;--;--;--;--;
2018-09-02;--;--;--;--;--;--;--;--;--;--;--;--;--;--;5.63;84.10;14.21;96.42;22.57;109.38;30.25;123.61;36.66;139.71;41.10;157.97;42.89;177.87;41.69;197.94;37.73;216.60;31.64;233.13;24.16;247.68;15.87;260.84;7.28;273.23;--;--;--;--;--;--;--;--;
2018-09-03;--;--;--;--;--;--;--;--;--;--;--;--;--;--;5.37;84.37;13.95;96.71;22.31;109.67;29.97;123.90;36.35;139.97;40.76;158.18;42.53;177.99;41.32;197.96;37.36;216.54;31.28;233.02;23.80;247.54;15.53;260.69;6.93;273.08;--;--;--;--;--;--;--;--;
2018-09-04;--;--;--;--;--;--;--;--;--;--;--;--;--;--;5.12;84.65;13.70;96.99;22.04;109.96;29.68;124.18;36.04;140.24;40.42;158.39;42.16;178.11;40.94;197.98;36.98;216.48;30.92;232.90;23.45;247.41;15.18;260.54;6.59;272.94;--;--;--;--;--;--;--;--;
2018-09-05;--;--;--;--;--;--;--;--;--;--;--;--;--;--;4.87;84.93;13.44;97.28;21.78;110.25;29.40;124.47;35.73;140.50;40.08;158.60;41.80;178.23;40.56;198.00;36.61;216.42;30.55;232.79;23.09;247.27;14.83;260.39;6.24;272.79;--;--;--;--;--;--;--;--;
2018-09-06;--;--;--;--;--;--;--;--;--;--;--;--;--;--;4.61;85.22;13.19;97.57;21.51;110.54;29.11;124.75;35.41;140.76;39.73;158.80;41.43;178.35;40.18;198.02;36.23;216.35;30.18;232.68;22.73;247.13;14.47;260.24;5.88;272.64;--;--;--;--;--;--;--;--;
2018-09-07;--;--;--;--;--;--;--;--;--;--;--;--;--;--;4.35;85.50;12.93;97.86;21.24;110.84;28.82;125.04;35.10;141.02;39.38;159.01;41.05;178.47;39.80;198.04;35.85;216.29;29.81;232.57;22.37;246.99;14.12;260.10;5.53;272.50;--;--;--;--;--;--;--;--;
2018-09-08;--;--;--;--;--;--;--;--;--;--;--;--;--;--;4.10;85.79;12.67;98.15;20.97;111.13;28.53;125.33;34.78;141.29;39.04;159.22;40.68;178.59;39.41;198.06;35.47;216.24;29.44;232.46;22.01;246.85;13.76;259.95;5.17;272.35;--;--;--;--;--;--;--;--;
2018-09-09;--;--;--;--;--;--;--;--;--;--;--;--;--;--;3.84;86.07;12.41;98.44;20.70;111.42;28.24;125.61;34.46;141.55;38.68;159.43;40.30;178.71;39.03;198.08;35.08;216.18;29.07;232.35;21.64;246.72;13.40;259.80;4.82;272.20;--;--;--;--;--;--;--;--;
2018-09-10;--;--;--;--;--;--;--;--;--;--;--;--;--;--;3.58;86.36;12.15;98.74;20.43;111.72;27.94;125.90;34.13;141.81;38.33;159.63;39.93;178.83;38.64;198.11;34.70;216.12;28.69;232.24;21.27;246.58;13.04;259.66;4.46;272.05;--;--;--;--;--;--;--;--;
2018-09-11;--;--;--;--;--;--;--;--;--;--;--;--;--;--;3.32;86.65;11.89;99.03;20.15;112.01;27.65;126.19;33.81;142.07;37.98;159.84;39.55;178.95;38.25;198.13;34.31;216.06;28.31;232.13;20.91;246.45;12.68;259.51;4.10;271.91;--;--;--;--;--;--;--;--;
2018-09-12;--;--;--;--;--;--;--;--;--;--;--;--;--;--;3.06;86.94;11.62;99.32;19.88;112.31;27.35;126.47;33.49;142.33;37.62;160.04;39.17;179.07;37.86;198.15;33.92;216.01;27.93;232.02;20.54;246.31;12.31;259.36;3.73;271.76;--;--;--;--;--;--;--;--;
2018-09-13;--;--;--;--;--;--;--;--;--;--;--;--;--;--;2.80;87.23;11.36;99.62;19.60;112.60;27.05;126.76;33.16;142.59;37.26;160.24;38.79;179.18;37.47;198.18;33.54;215.95;27.55;231.92;20.16;246.18;11.95;259.22;3.37;271.61;--;--;--;--;--;--;--;--;
2018-09-14;--;--;--;--;--;--;--;--;--;--;--;--;--;--;2.53;87.53;11.09;99.92;19.32;112.90;26.76;127.05;32.83;142.85;36.90;160.45;38.40;179.30;37.08;198.20;33.14;215.90;27.17;231.81;19.79;246.04;11.58;259.07;3.00;271.46;--;--;--;--;--;--;--;--;
2018-09-15;--;--;--;--;--;--;--;--;--;--;--;--;--;--;2.27;87.82;10.83;100.21;19.04;113.19;26.45;127.33;32.50;143.11;36.54;160.65;38.02;179.42;36.68;198.22;32.75;215.84;26.79;231.70;19.42;245.91;11.21;258.92;2.64;271.32;--;--;--;--;--;--;--;--;
2018-09-16;--;--;--;--;--;--;--;--;--;--;--;--;--;--;2.01;88.12;10.56;100.51;18.76;113.49;26.15;127.62;32.17;143.36;36.18;160.85;37.64;179.53;36.29;198.25;32.36;215.79;26.40;231.60;19.04;245.78;10.84;258.78;2.27;271.17;--;--;--;--;--;--;--;--;
2018-09-17;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.74;88.41;10.29;100.80;18.48;113.78;25.85;127.90;31.84;143.62;35.82;161.04;37.25;179.65;35.89;198.27;31.97;215.74;26.02;231.49;18.67;245.64;10.47;258.63;1.90;271.02;--;--;--;--;--;--;--;--;
2018-09-18;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.48;88.71;10.02;101.10;18.20;114.08;25.54;128.18;31.50;143.87;35.46;161.24;36.86;179.76;35.50;198.29;31.57;215.68;25.63;231.39;18.29;245.51;10.10;258.49;1.54;270.87;--;--;--;--;--;--;--;--;
2018-09-19;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.21;89.00;9.75;101.40;17.92;114.37;25.24;128.46;31.17;144.12;35.09;161.43;36.48;179.87;35.10;198.31;31.18;215.63;25.24;231.29;17.91;245.38;9.73;258.34;1.17;270.72;--;--;--;--;--;--;--;--;
2018-09-20;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.94;89.30;9.48;101.69;17.63;114.66;24.93;128.74;30.83;144.37;34.73;161.63;36.09;179.98;34.70;198.33;30.78;215.58;24.86;231.18;17.54;245.24;9.36;258.19;0.80;270.57;--;--;--;--;--;--;--;--;
2018-09-21;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.68;89.59;9.21;101.99;17.35;114.95;24.62;129.02;30.50;144.62;34.36;161.82;35.70;180.09;34.30;198.36;30.39;215.52;24.47;231.08;17.16;245.11;8.99;258.05;0.43;270.42;--;--;--;--;--;--;--;--;
2018-09-22;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.41;89.89;8.94;102.28;17.06;115.24;24.32;129.30;30.16;144.86;34.00;162.01;35.31;180.20;33.90;198.38;29.99;215.47;24.08;230.98;16.78;244.98;8.62;257.90;0.06;270.27;--;--;--;--;--;--;--;--;
2018-09-23;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.14;90.18;8.67;102.58;16.77;115.53;24.01;129.57;29.82;145.11;33.63;162.19;34.92;180.31;33.51;198.39;29.59;215.42;23.70;230.87;16.40;244.85;8.25;257.75;-0.31;270.12;--;--;--;--;--;--;--;--;
2018-09-24;--;--;--;--;--;--;--;--;--;--;--;--;--;--;-0.13;90.48;8.39;102.87;16.49;115.82;23.70;129.85;29.48;145.35;33.26;162.38;34.53;180.41;33.11;198.41;29.20;215.36;23.31;230.77;16.02;244.71;7.88;257.61;-0.68;269.97;--;--;--;--;--;--;--;--;
2018-09-25;--;--;--;--;--;--;--;--;--;--;--;--;--;--;-0.40;90.77;8.12;103.16;16.20;116.11;23.38;130.12;29.14;145.59;32.89;162.56;34.14;180.51;32.71;198.43;28.80;215.31;22.92;230.67;15.65;244.58;7.51;257.46;--;--;--;--;--;--;--;--;--;--;
2018-09-26;--;--;--;--;--;--;--;--;--;--;--;--;--;--;-0.67;91.07;7.84;103.46;15.91;116.39;23.07;130.39;28.80;145.83;32.52;162.74;33.75;180.62;32.31;198.45;28.40;215.25;22.53;230.56;15.27;244.45;7.14;257.31;--;--;--;--;--;--;--;--;--;--;
2018-09-27;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;7.57;103.75;15.62;116.68;22.76;130.66;28.46;146.06;32.15;162.92;33.36;180.72;31.91;198.46;28.01;215.20;22.15;230.46;14.89;244.32;6.76;257.16;--;--;--;--;--;--;--;--;--;--;
2018-09-28;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;7.29;104.04;15.33;116.96;22.44;130.92;28.12;146.29;31.78;163.09;32.97;180.81;31.51;198.48;27.61;215.14;21.76;230.35;14.51;244.18;6.40;257.01;--;--;--;--;--;--;--;--;--;--;
2018-09-29;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;7.01;104.32;15.03;117.24;22.13;131.19;27.78;146.52;31.41;163.27;32.58;180.91;31.12;198.49;27.22;215.09;21.37;230.25;14.14;244.05;6.03;256.86;--;--;--;--;--;--;--;--;--;--;
2018-09-30;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;6.74;104.61;14.74;117.52;21.82;131.45;27.43;146.75;31.04;163.44;32.19;181.00;30.72;198.50;26.83;215.03;20.99;230.14;13.76;243.91;5.66;256.71;--;--;--;--;--;--;--;--;--;--;
2018-10-01;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;6.46;104.90;14.45;117.80;21.50;131.71;27.09;146.97;30.67;163.60;31.81;181.09;30.32;198.51;26.43;214.97;20.61;230.04;13.39;243.78;5.29;256.56;--;--;--;--;--;--;--;--;--;--;
2018-10-02;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;6.18;105.18;14.16;118.07;21.18;131.96;26.75;147.19;30.30;163.77;31.42;181.18;29.93;198.52;26.04;214.92;20.22;229.93;13.02;243.65;4.93;256.41;--;--;--;--;--;--;--;--;--;--;
2018-10-03;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;5.90;105.46;13.86;118.34;20.87;132.22;26.40;147.41;29.94;163.93;31.03;181.27;29.53;198.53;25.65;214.86;19.84;229.83;12.64;243.51;4.56;256.26;--;--;--;--;--;--;--;--;--;--;
2018-10-04;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;5.63;105.74;13.57;118.61;20.55;132.47;26.06;147.63;29.57;164.09;30.64;181.35;29.14;198.54;25.26;214.80;19.46;229.72;12.27;243.37;4.20;256.11;--;--;--;--;--;--;--;--;--;--;
2018-10-05;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;5.35;106.02;13.28;118.88;20.23;132.71;25.72;147.84;29.20;164.24;30.26;181.43;28.75;198.54;24.87;214.74;19.08;229.62;11.90;243.24;3.84;255.96;--;--;--;--;--;--;--;--;--;--;
2018-10-06;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;5.07;106.30;12.98;119.14;19.92;132.96;25.37;148.05;28.83;164.40;29.87;181.51;28.36;198.54;24.48;214.68;18.70;229.51;11.54;243.10;3.48;255.80;--;--;--;--;--;--;--;--;--;--;
2018-10-07;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;4.79;106.57;12.69;119.41;19.60;133.20;25.03;148.25;28.46;164.54;29.49;181.59;27.97;198.55;24.10;214.61;18.33;229.40;11.17;242.96;3.12;255.65;--;--;--;--;--;--;--;--;--;--;
2018-10-08;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;4.51;106.84;12.39;119.67;19.28;133.44;24.69;148.46;28.10;164.69;29.10;181.66;27.58;198.55;23.71;214.55;17.95;229.29;10.81;242.83;2.76;255.49;--;--;--;--;--;--;--;--;--;--;
2018-10-09;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;4.23;107.11;12.10;119.92;18.97;133.67;24.35;148.65;27.73;164.83;28.72;181.74;27.19;198.54;23.33;214.48;17.58;229.18;10.45;242.69;2.41;255.34;--;--;--;--;--;--;--;--;--;--;
